Näringsvärden per 100 gram livsmedel
Livsmedelsnamn;Livsmedelsnummer;Energi (kJ)(kJ);Energi (kcal)(kcal);Protein(g);Fett(g);Kolhydrater(g);Fibrer(g);Salt(g);Aska(g);Vatten(g);Alkohol(g);Monosackarider(g);Disackarider(g);Sackaros(g);Fullkorn totalt(g);Summa mättade fettsyror(g);Fettsyra 4:0-10:0(g);Fettsyra 12:0(g);Fettsyra 14:0(g);Fettsyra 16:0(g);Fettsyra 18:0(g);Fettsyra 20:0(g);Summa enkelomättade fettsyror(g);Fettsyra 16:1(g);Fettsyra 18:1(g);Summa fleromättade fettsyror(g);Summa n-6 fettsyror(g);Fettsyra 18:2(g);Fettsyra 20:4(g);Summa n-3 fettsyror(g);Fettsyra 18:3(g);Summa långa n-3 fettsyror(g);EPA (Fettsyra 20:5)(g);DPA (Fettsyra 22:5)(g);DHA (Fettsyra 22:6)(g);Summa transfettsyror(g);Kolesterol(mg);Retinolekvivalenter();Retinol(µg);beta-Karoten(µg);Vitamin D(µg);Vitamin E(mg);Vitamin K(µg);Tiamin(mg);Riboflavin(mg);Vitamin C(mg);Niacin(mg);Niacinekvivalenter();Vitamin B6(mg);Vitamin B12(µg);Fosfor(mg);Folat(µg);Jod(µg);Avfall (skal etc.)(%);Järn(mg);Kalcium(mg);Kalium(mg);Magnesium(mg);Natrium(mg);Selen(µg);Zink(mg);
Fiskgratäng m potatismos o dillsås fryst tillagad;1372;591;141;7,4;7,4;11,3;0,0;0,9;1,7;72,2;0,0;0,2;1,4;0,1;0;2,6;0,1;0,2;0,2;1,5;0,4;0,0;2,9;0,1;2,7;1,5;;1,1;0,0;;0,3;;0,0;0,0;0,1;;80,0;69;65;40;0,80;1,26;;0,06;0,11;1;1,1;2,4;0,11;0,81;96;23;;0;0,40;49;291;10;372;8,8;0,59;
Laxpaté;1373;924;221;13,1;18,1;0,9;1,8;1,3;2,1;64,0;0,0;0,2;0,7;0,1;0;8,2;1,2;0,3;1,4;0,0;1,3;0,0;5,4;0,6;3,5;3,5;;0,6;0,2;;0,2;1,9;0,6;0,6;0,9;0,9;102,0;117;102;179;3,80;1,65;5;0,10;0,16;0;2,7;5,1;0,16;1,37;141;20;24;0;0,46;34;284;18;516;18,0;0,53;
Fiskgratäng m potatismos o räksås fryst tillagad;1374;555;133;7,1;6,8;10,6;0,5;1,0;1,9;73,2;0,0;0,2;1,7;0,0;0;2,3;0,2;0,2;0,2;1,2;0,4;0,0;2,7;0,1;2,5;1,4;;1,0;0,0;;0,3;;0,0;0,0;0,1;0,0;85,0;59;55;47;0,56;1,28;;0,07;0,12;1;1,2;2,5;0,13;0,00;110;27;;0;0,29;53;315;25;405;8,0;0,62;
Sushi blandning 7 bitar;1375;665;159;6,1;1,7;29,0;0,7;1,1;1,4;61,1;0,0;0,4;1,7;0,9;0;0,3;0,0;0,0;0,1;0,2;0,0;0,0;0,5;0,1;0,2;0,3;;0,1;0,0;;0,0;0,2;0,1;0,0;0,1;;10,0;8;7;97;0,99;0,40;2;0,04;0,04;0;1,5;2,7;0,14;0,58;72;17;42;0;0,46;19;109;14;423;9,8;0,45;
Torskrom sillrom m.fl. rå;1376;502;120;24,5;2,3;0,0;0,0;0,3;1,7;71,5;0,0;0,0;0,0;0,0;0;0,4;0,0;0,0;0,0;0,3;0,0;0,0;0,4;0,1;0,3;0,8;;0,0;0,0;;0,0;;0,3;0,0;0,5;;360,0;0;0;0;7,00;10,00;;0,75;0,76;14;1,4;5,9;0,17;18,00;500;12;;0;0,60;17;260;25;130;20,0;2,10;
Kaviar orökt;1377;783;187;15,3;3,3;23,6;0,0;7,9;9,8;48,0;0,0;0,0;10,0;10,0;0;0,6;0,0;0,0;0,0;0,5;0,1;0,0;0,7;0,1;0,6;1,1;;0,3;0,1;;0,0;;0,3;0,0;0,6;;300,0;0;0;0;2,50;7,50;;0,33;0,46;0;0,5;3,3;0,13;5,70;255;6;;0;0,80;26;240;19;3150;10,0;2,00;
Kaviar rökt;1378;1619;387;11,8;32,5;12,7;0,0;5,5;7,0;36,0;0,0;0,0;10,0;10,0;0;5,8;0,0;0,0;0,2;4,7;0,7;0,1;10,6;0,2;9,5;14,4;;12,3;0,0;;1,4;;0,3;0,0;0,4;;210,0;0;0;0;2,50;5,50;;0,33;0,46;0;0,5;2,7;0,09;4,20;160;6;;0;0,60;23;100;14;2200;10,0;1,40;
Lättkaviar Kalles;1379;1128;270;9,0;15,8;23,0;0,0;10,5;7,7;44,5;0,0;0,0;12,6;12,6;0;1,2;0,0;0,0;0,0;0,7;0,3;0,1;8,6;0,1;8,3;4,3;;2,6;0,0;;1,3;0,3;0,0;0,0;0,3;0,2;115,6;19;17;16;1,38;6,59;11;0,17;0,28;33;0,6;2,3;0,08;8,00;227;32;44;0;0,51;11;253;9;4210;38,4;1,99;
Stenbitskaviar;1381;493;118;14,0;5,5;3,0;0,0;5,1;5,5;72,0;0,0;0,0;0,0;0,0;0;0,8;0,0;0,0;0,1;0,6;0,2;0,0;1,2;0,1;0,9;1,8;;0,2;0,0;;0,0;;0,6;0,1;0,8;;310,0;0;0;0;7,00;10,00;;0,25;0,55;0;0,8;3,4;0,20;15,00;330;12;;0;1,00;43;73;3;2050;20,0;1,20;
Löjrom saltad;1382;527;126;24,5;2,3;1,5;0,0;4,3;4,7;67,0;0,0;0,0;0,0;0,0;0;0,4;0,0;0,0;0,0;0,3;0,0;0,0;0,4;0,1;0,3;0,8;;0,0;0,0;;0,0;;0,3;0,0;0,5;;360,0;0;0;0;7,00;10,00;;0,75;0,76;14;1,4;5,9;0,17;18,00;320;12;140;0;0,85;28;160;41;1700;90,0;2,50;
Torskrom stekt;1383;673;161;24,0;6,3;2,0;0,0;1,1;1,8;65,9;0,0;0,0;0,0;0,0;0;0,7;0,0;0,0;0,0;0,4;0,1;0,1;2,8;0,1;2,6;2,1;1,0;1,0;0,0;0,4;0,5;0,0;0,2;0,0;0,4;0,0;229,8;45;43;29;4,53;11,04;3;0,22;0,43;0;0,8;5,2;0,16;12,47;401;8;0;0;1,76;12;230;11;426;19,6;2,54;
Bläckfisk;1384;312;75;16,4;0,9;0,0;0,0;0,9;1,0;81,7;0,0;0,0;0,0;0,0;0;0,3;0,0;0,0;0,0;0,2;0,1;0,0;0,1;0,0;0,1;0,3;;0,0;0,1;;0,0;;0,1;0,0;0,1;0,0;233,0;50;50;0;1,30;1,20;;0,02;0,12;0;1,0;4,0;0,05;5,00;119;20;;22;0,50;12;230;20;365;50,0;1,60;
Blåmusslor kokta m lag avrunna;1385;474;113;18,5;3,3;2,3;0,0;0,7;2,4;73,5;0,0;0,1;0,0;0,0;0;0,5;0,0;0,0;0,1;0,3;0,1;0,0;0,5;0,2;0,3;1,1;0,2;0,1;0,0;0,9;0,1;0,7;0,4;0,0;0,3;0,0;30,9;67;61;44;0,00;3,07;6;0,04;0,43;0;2,0;5,3;0,09;7,87;393;37;180;71;4,16;66;120;60;273;68,1;2,88;
Ostron;1386;236;56;9,5;2,0;0,0;0,0;0,2;1,8;86,7;0,0;0,0;0,0;0,0;0;0,6;0,0;0,1;0,1;0,3;0,1;0,0;0,2;0,1;0,1;0,6;;0,0;0,0;;0,0;;0,2;0,0;0,2;0,0;50,0;94;94;0;1,00;0,85;;0,13;0,18;0;1,9;3,6;0,05;18,00;148;10;60;91;6,40;90;121;28;73;70,0;50,00;
Sniglar vinbergssnäckor;1387;363;87;16,1;1,4;2,2;0,0;0,2;1,3;79,0;0,0;0,0;0,0;0,0;0;0,2;0,0;0,0;0,0;0,2;0,1;0,0;0,3;0,0;0,2;0,4;;0,1;0,1;;0,0;;0,2;0,0;0,1;0,0;50,0;90;90;0;1,10;0,80;;0,13;0,18;0;1,9;4,9;0,05;5,00;200;20;;35;3,50;170;121;250;73;50,0;2,00;
Grodlår råa frysta;1388;290;69;16,4;0,3;0,0;0,0;0,1;1,1;82,2;0,0;0,0;0,0;0,0;0;0,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;;0,0;0,0;0,0;;50,0;10;10;0;0,50;0,80;;0,14;0,25;0;1,2;4,2;1,20;1,00;147;10;;35;1,50;18;310;23;55;20,0;2,00;
Musslor konserv m lag;1389;213;51;7,9;0,7;3,1;0,0;1,0;2,3;86,0;0,0;0,0;0,0;0,0;0;0,1;0,0;0,0;0,0;0,1;0,0;0,0;0,1;0,0;0,0;0,2;;0,0;0,0;;0,0;;0,1;0,0;0,0;0,0;55,0;54;54;0;0,00;0,50;;0,01;0,11;0;1,0;2,5;0,08;5,00;137;20;;0;4,80;55;140;32;390;56,0;2,30;
Musslor konserv u lag;1390;400;96;15,8;2,5;2,3;0,0;1,0;2,4;77,0;0,0;0,0;0,0;0,0;0;0,4;0,0;0,0;0,0;0,2;0,1;0,0;0,5;0,1;0,1;0,6;;0,0;0,1;;0,0;;0,2;0,0;0,1;0,0;78,0;84;84;0;0,00;1,20;;0,02;0,24;0;2,2;5,1;0,08;10,00;310;18;;0;7,40;71;140;50;390;60,0;3,60;
Ostron konserv m lag;1391;243;58;9,5;2,2;0,0;0,0;0,3;2,2;86,1;0,0;0,0;0,0;0,0;0;0,6;0,0;0,1;0,1;0,3;0,1;0,0;0,2;0,1;0,1;0,7;;0,0;0,0;;0,0;;0,2;0,0;0,3;0,0;55,0;60;60;0;0,65;0,55;;0,02;0,20;0;0,8;2,5;0,04;19,00;124;9;;0;5,60;28;70;54;112;50,0;32,50;
Krabba blå;1392;347;83;18,0;1,1;0,0;0,0;0,7;1,8;79,0;0,0;0,0;0,0;0,0;0;0,2;0,0;0,0;0,0;0,1;0,1;0,0;0,2;0,1;0,1;0,4;;0,0;0,1;;0,0;;0,2;0,0;0,2;0,0;78,0;7;7;0;0,13;1,22;;0,08;0,08;0;1,4;4,7;0,30;0,50;229;20;;73;0,70;89;329;34;293;50,0;3,50;
Hummer;1393;358;86;16,9;1,9;0,0;0,0;0,7;2,2;79,0;0,0;0,0;0,0;0,0;0;0,2;0,0;0,0;0,0;0,1;0,1;0,0;0,4;0,1;0,2;0,7;;0,1;0,0;;0,1;;0,3;0,0;0,1;0,0;129,0;0;0;0;0,00;1,50;;0,10;0,05;0;1,5;4,6;0,21;0,50;183;17;700;72;0,60;29;220;29;270;104,0;4,60;
Kräfta;1394;289;69;15,6;0,8;0,2;0,0;2,2;3,0;80,9;0,0;0,0;0,2;0,2;0;0,1;0,0;0,0;0,0;0,1;0,0;0,0;0,2;0,0;0,1;0,2;0,1;0,1;0,0;0,1;0,0;0,1;0,1;0,0;0,0;0,0;110,0;11;0;126;0,00;2,04;2;0,04;0,12;0;1,6;4,4;0,03;3,63;148;30;77;88;0,75;78;148;28;893;18,0;2,06;
Räkor;1395;323;77;17,6;0,6;0,0;0,0;1,6;2,2;78,7;0,0;0,0;0,0;0,0;0;0,1;0,0;0,0;0,0;0,1;0,0;0,0;0,2;0,0;0,1;0,2;0,0;0,0;0,0;0,2;0,0;0,2;0,1;0,0;0,1;0,0;147,0;0;0;0;0,00;3,93;0;0,04;0,00;0;1,0;4,2;0,04;3,52;147;14;20;62;0,22;21;88;37;630;23,0;1,12;
Hummer konserv el kokt;1396;375;90;18,7;1,5;0,1;0,0;0,8;2,7;77,0;0,0;0,0;0,0;0,0;0;0,2;0,0;0,0;0,1;0,0;0,0;0,0;0,3;0,1;0,2;0,6;;0,0;0,0;;0,1;;0,2;0,0;0,1;0,0;132,0;0;0;0;0,00;1,50;;0,10;0,05;0;1,5;4,9;0,06;0,50;192;17;;72;0,80;65;260;47;330;100,0;3,40;
Krabba kokt;1397;364;87;17,3;1,9;0,0;0,0;0,5;1,8;79,0;0,0;0,0;0,0;0,0;0;0,2;0,0;0,0;0,0;0,1;0,1;0,0;0,4;0,1;0,2;0,6;;0,0;0,0;;0,1;;0,3;0,0;0,1;;100,0;9;9;0;0,13;1,22;;0,16;0,08;0;2,8;6,0;0,30;10,00;173;20;;84;0,80;43;110;34;210;50,0;5,50;
Krabba konserv;1398;410;98;17,4;2,5;1,3;0,0;1,4;1,8;77,0;0,0;0,0;0,0;0,0;0;0,3;0,0;0,0;0,0;0,2;0,1;0,0;0,5;0,1;0,3;0,8;;0,1;0,0;;0,1;;0,4;0,0;0,2;0,0;87,0;9;9;0;0,13;1,22;;0,08;0,08;0;1,9;5,1;0,30;13,50;140;10;;0;0,80;120;110;32;550;50,0;5,00;
Räkor konserv m lag;1399;322;77;16,2;0,8;1,0;0,0;2,5;4,0;78,0;0,0;0,0;0,0;0,0;0;0,1;0,0;0,0;0,0;0,1;0,0;0,0;0,2;0,0;0,1;0,2;;0,0;0,0;;0,0;;0,1;0,0;0,1;0,0;170,0;15;15;0;0,33;1,22;;0,01;0,03;0;1,5;4,5;0,06;0,60;152;2;;0;1,80;59;122;32;980;21,0;1,10;
Räkor konserv u lag;1400;454;109;24,0;1,1;0,3;0,0;2,5;3,6;71,0;0,0;0,0;0,0;0,0;0;0,2;0,0;0,0;0,0;0,1;0,0;0,0;0,2;0,1;0,1;0,3;;0,0;0,0;;0,0;;0,2;0,0;0,1;0,0;244,0;18;18;0;0,61;1,50;;0,01;0,03;0;1,8;6,2;0,06;1,00;265;2;;0;3,10;115;122;49;980;21,0;1,30;
Räkor kokta;1401;449;107;24,0;1,1;0,0;0,0;2,5;4,0;70,9;0,0;0,0;0,0;0,0;0;0,2;0,0;0,0;0,0;0,1;0,0;0,0;0,2;0,1;0,1;0,3;;0,0;0,0;;0,0;;0,2;0,0;0,1;;164,0;20;20;0;0,63;1,50;;0,01;0,03;0;3,0;7,4;0,10;1,00;265;4;;62;3,10;115;122;49;980;20,0;1,30;
Kräfta konserv el kokt;1402;395;94;18,0;1,9;1,1;0,0;0,9;2,0;77,0;0,0;0,0;0,0;0,0;0;0,3;0,0;0,0;0,2;0,1;0,0;0,0;0,4;0,1;0,2;0,6;;0,1;0,1;;0,1;;0,2;0,0;0,1;0,0;122,0;18;18;0;0,61;1,50;;0,14;0,05;0;1,6;4,9;0,10;0,50;180;8;;0;0,80;45;295;34;355;50,0;2,30;
Havskräfta;1403;441;106;24,0;0,9;0,0;0,0;0,1;1,2;73,9;0,0;0,0;0,0;0,0;0;0,1;0,0;0,0;0,0;0,1;0,0;0,0;0,1;0,0;0,1;0,3;;0,0;0,0;;0,0;;0,2;0,0;0,1;0,0;140,0;15;15;0;0,50;1,50;;0,08;0,06;0;2,5;6,9;0,21;0,50;183;17;;70;0,80;60;274;25;53;50,0;1,30;
Friterade räkor;1404;1202;287;10,6;14,8;27,8;0,2;1,6;2,3;44,3;0,0;0,0;1,0;0,7;0;5,1;0,0;0,0;0,3;3,7;1,1;0,0;6,1;0,7;5,4;2,8;;2,8;0,0;;0,0;;0,0;0,0;0,0;;164,0;11;11;0;0,38;1,12;;0,04;0,08;0;2,7;4,6;0,08;0,80;191;4;;0;1,00;52;90;23;650;20,0;1,50;
Friterade räkor restaurang;1406;1621;387;6,9;29,1;24,7;1,1;1,0;1,2;37,0;0,0;0,0;0,5;0,0;0;3,9;0,0;0,0;0,1;2,6;1,0;0,1;10,9;0,1;10,6;12,9;;12,0;0,0;;0,7;0,1;0,0;0,1;0,0;0,2;48,7;0;6;5;0,10;12,50;25;0,03;0,01;0;0,4;1,7;0,03;0,21;233;14;6;0;0,37;29;58;17;384;11,3;0,51;
Friterad bläckfisk;1407;1220;292;18,6;17,4;15,2;0,2;1,4;2,0;46,6;0,0;0,0;1,0;0,7;0;3,1;0,0;0,0;0,0;2,5;0,0;0,0;8,0;0,0;8,0;5,5;;3,5;0,0;;1,3;;0,0;0,3;0,0;;160,0;38;38;0;0,81;0,90;;0,15;0,90;0;0,8;4,2;0,04;3,80;89;10;;0;0,60;29;150;43;570;20,0;1,70;
Friterad bläckfisk restaurang;1408;1173;280;11,3;17,8;19,1;0,0;1,5;1,8;50,1;0,0;0,0;0,0;0,0;0;2,6;0,0;0,0;0,1;1,8;0,6;0,1;6,3;0,0;6,1;8,1;;7,3;0,0;;0,4;0,4;0,1;0,0;0,3;0,2;118,0;7;7;5;0,11;10,90;8;0,02;0,06;0;1,1;3,2;0,10;1,87;146;13;8;0;0,26;13;74;15;605;24,5;0,87;
Hummersås;1409;550;131;8,0;9,7;3,1;0,1;0,8;1,8;77,2;0,0;0,1;0,6;0,1;0;4,8;0,7;0,2;0,8;2,1;0,9;0,0;2,9;0,1;2,7;1,0;0,5;0,6;0,0;0,2;0,3;0,0;0,1;0,0;0,0;0,2;70,0;83;78;63;0,34;1,35;2;0,06;0,04;0;0,8;2,3;0,04;0,26;89;7;2;28;0,42;40;128;22;305;38,8;1,39;
Räksallad majonnäs vispgrädde sparris ärter champinjoner;1410;664;159;8,0;12,7;2,8;1,2;1,1;1,7;73,5;0,0;0,8;1,4;1,0;0;3,6;0,4;0,1;0,4;1,9;0,7;0,0;2,6;0,1;2,4;5,3;0,0;4,6;0,0;0,0;0,6;0,0;0,0;0,0;0,0;0,1;87,6;72;55;207;0,19;1,12;0;0,08;0,07;7;1,1;2,5;0,08;0,39;111;39;6;9;1,29;48;167;24;427;6,0;0,70;
Räkstuvning;1411;441;105;7,5;6,1;5,1;0,2;1,0;1,5;79,4;0,0;0,0;0,7;0,0;0;1,8;0,2;0,1;0,2;0,8;0,4;0,0;2,5;0,0;2,4;1,3;0,8;0,9;0,0;0,4;0,4;0,1;0,0;0,0;0,0;0,1;59,2;55;51;46;0,49;2,46;3;0,05;0,03;0;0,7;2,1;0,03;1,23;73;6;9;22;0,21;26;63;18;383;8,7;0,51;
Räksoppa;1412;257;61;6,5;2,8;2,4;0,2;1,1;1,8;86,0;0,0;0,4;0,4;0,1;0;1,3;0,2;0,1;0,2;0,6;0,2;0,0;0,9;0,0;0,8;0,4;0,2;0,2;0,0;0,1;0,1;0,0;0,0;0,0;0,0;0,1;44,6;30;26;56;0,26;0,72;1;0,02;0,02;1;1,0;2,2;0,04;0,29;78;3;1;16;0,92;42;71;16;426;5,1;0,39;
Skaldjurssallad västkust m vinägrettsås;1413;367;88;8,9;4,4;2,5;1,1;0,9;1,6;81,5;0,0;0,8;0,4;0,4;0;0,4;0,0;0,0;0,0;0,2;0,1;0,0;2,4;0,0;2,3;1,2;0,7;0,8;0,0;0,3;0,3;0,0;0,1;0,0;0,0;0,0;63,8;26;10;183;0,14;1,98;5;0,06;0,09;8;1,3;2,9;0,11;1,89;120;40;8;11;1,58;48;180;25;354;12,7;1,22;
Skaldjurssallad västkust u dressing;1414;238;57;9,5;0,9;2,0;1,2;1,0;1,7;84,8;0,0;0,9;0,4;0,4;0;0,1;0,0;0,0;0,0;0,1;0,0;0,0;0,1;0,0;0,1;0,3;;0,1;0,0;;0,0;0,0;0,1;0,0;0,0;0,0;51,1;26;12;164;0,16;0,70;;0,05;0,08;6;1,5;3,2;0,10;2,06;124;39;0;15;1,64;49;154;24;390;13,6;1,21;
Fiskpastej;1415;1506;360;12,6;30,6;9,4;0,0;5,0;8,0;39,4;0,0;0,0;0,0;0,0;0;3,2;0,0;0,0;0,2;2,1;0,6;0,1;13,7;0,3;12,2;11,0;;7,8;0,0;;2,9;;0,2;0,0;0,2;;18,0;100;100;0;1,50;5,50;;0,33;0,46;0;0,8;3,1;0,10;4,00;330;6;;0;1,00;43;100;15;2000;10,0;3,00;
Medelhavssallad skaldjur tonfisk majonnäsdressing sallad;1416;527;126;7,4;9,5;2,5;0,8;0,9;1,4;78,4;0,0;0,9;0,4;0,0;0;0,7;0,0;0,0;0,0;0,4;0,2;0,1;5,2;0,0;5,0;2,6;;1,7;0,0;;0,8;0,1;0,0;0,0;0,1;;37,7;6;0;72;0,20;3,15;58;0,03;0,04;0;2,1;3,4;0,09;0,65;74;22;5;0;0,25;37;157;14;361;16,3;0,33;
Skaldjurspaté;1417;631;151;11,7;10,2;2,3;2,1;1,8;2,5;71,3;0,0;0,1;0,9;0,4;0;5,8;1,0;0,3;0,9;2,5;0,9;0,0;2,4;0,2;2,1;0,8;;0,3;0,1;;0,1;0,2;0,1;0,1;0,1;0,5;104,0;138;92;489;1,23;1,09;1;0,03;0,11;0;0,8;2,9;0,07;0,72;112;14;25;0;0,35;57;189;15;713;17,7;0,63;
Räk- hummersoppa pulver tillagad m vatten mjölk;1418;212;51;2,1;2,1;5,8;0,1;1,0;1,3;88,6;0,0;0,1;1,8;0,1;0;0,8;0,1;0,0;0,1;0,4;0,3;0,0;1,0;0,0;1,0;0,1;;0,1;0,0;;0,0;;0,0;0,0;0,0;0,0;14,0;8;8;3;0,00;0,45;;0,03;0,06;0;0,2;0,6;0,03;0,16;52;14;;0;0,11;32;82;9;393;2,5;0,28;
Fiskbuljong konc storhushåll;1419;903;216;25,0;4,9;17,5;0,0;46,5;48,4;4,2;0,0;0,0;0,0;0,0;0;2,4;0,0;0,0;0,2;1,2;1,0;0,0;2,0;0,2;1,7;0,2;;0,2;0,0;;0,0;;0,0;0,0;0,0;;0,0;48;48;0;0,48;0,00;;0,30;1,20;0;3,9;8,5;0,48;4,79;192;96;;0;1,80;59;463;120;18600;0,0;0,00;
Fiskbuljong konc låg salt storhushåll ;1420;1116;267;35,0;3,5;23,0;0,0;34,3;37,2;1,3;0,0;0,0;0,0;0,0;0;1,8;0,0;0,0;0,2;0,9;0,7;0,0;1,4;0,2;1,2;0,2;;0,2;0,0;;0,0;;0,0;0,0;0,0;;0,0;49;49;0;0,00;0,00;;0,49;0,49;0;9,9;16,3;0,49;0,49;197;99;;0;0,40;100;1100;123;13700;0,0;0,00;
Fisksås pulver tillagad m mjölk vatten smör typ Smögen;1421;468;112;2,7;7,6;8,2;0,1;1,2;1,5;79,9;0,0;0,7;3,2;0,3;0;3,7;0,4;0,1;0,5;1,6;0,9;0,0;3,2;0,1;3,0;0,3;;0,2;0,0;;0,0;0,0;0,0;0,0;0,0;0,1;36,0;43;40;23;0,10;0,97;;0,05;0,09;0;0,2;0,7;0,05;0,21;82;14;;0;0,15;53;114;7;491;1,8;0,46;
Fiskbuljong ätf;1422;18;4;0,3;0,2;0,3;0,0;0,7;1,2;98,0;0,0;0,0;0,0;0,0;0;0,1;0,0;0,0;0,0;0,1;0,0;0,0;0,1;0,0;0,1;0,0;;0,0;0,0;;0,0;;0,0;0,0;0,0;;0,0;1;1;0;0,01;0,00;;0,01;0,01;0;0,2;0,3;0,01;0,10;4;2;;0;0,10;4;7;3;295;0,0;0,00;
Blod gris;1423;304;73;16,6;0,4;0,4;0,0;0,5;1,6;81,0;0,0;0,1;0,0;0,0;0;0,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,2;;0,1;0,0;;0,0;;0,0;0,0;0,0;;40,0;28;28;0;0,10;0,40;;0,09;0,03;0;0,6;3,6;0,01;0,60;62;4;5;0;39,50;7;205;5;205;14,0;0,30;
Blod nöt;1424;294;70;16,4;0,4;0,0;0,0;0,8;1,4;81,8;0,0;0,1;0,0;0,0;0;0,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,2;;0,1;0,0;;0,0;;0,0;0,0;0,0;;190,0;28;28;0;0,10;0,40;;0,09;0,03;0;0,8;3,8;0,01;0,60;23;12;;0;35,50;7;43;2;330;9,0;0,40;
Blodbröd fullkorn hårt;1425;1533;366;17,7;1,9;65,5;6,0;0,4;1,5;7,4;0,0;0,0;0,6;0,1;42;0,2;0,0;0,0;0,0;0,2;0,0;0,0;0,5;0,0;0,5;0,7;;0,6;0,0;;0,1;;0,0;0,0;0,0;;30,0;12;12;0;0,87;0,24;;0,45;0,13;0;3,3;6,6;0,24;0,40;465;14;;0;19,80;36;240;16;160;3,0;1,30;
Blodpudding blodkorv fett 19%;1426;1259;301;10,6;19,0;21,0;2,3;0,9;2,1;45,0;0,0;4,2;8,2;8,2;0;9,4;0,0;0,0;0,6;5,3;3,4;0,1;7,4;0,5;6,6;1,3;;1,1;0,0;;0,1;;0,0;0,0;0,0;;65,0;12;12;0;0,90;0,24;;0,05;0,06;0;0,8;2,7;0,08;0,40;84;5;;0;17,70;19;170;16;350;3,0;0,90;
Blodpalt;1427;712;170;8,6;4,2;21,9;4,7;0,9;2,6;58,0;0,0;4,8;9,3;9,3;0;0,5;0,0;0,0;0,0;0,4;0,1;0,0;1,4;0,0;1,3;1,9;;1,6;0,0;;0,3;;0,0;0,0;0,0;;60,0;12;12;0;0,90;0,24;;0,11;0,06;0;1,7;3,3;0,12;0,40;123;14;;0;13,30;18;170;16;350;3,0;0,90;
Blodpudding blodkorv fett 14%;1428;1063;254;11,0;14,0;20,0;2,3;1,0;1,7;51,0;0,0;3,7;7,2;7,2;0;5,6;0,0;0,0;0,3;3,2;1,8;0,0;6,5;0,6;5,6;1,1;;1,0;0,0;;0,1;;0,0;0,0;0,0;;65,0;10;10;0;1,00;0,15;;0,08;0,05;0;0,9;2,9;0,10;0,10;92;5;;0;19,00;17;139;16;400;3,0;1,20;
Blodbröd paltbröd;1429;1199;287;14,4;2,8;47,8;4,7;0,9;3,3;27,0;0,0;9,6;18,6;18,6;0;0,3;0,0;0,0;0,0;0,2;0,0;0,0;0,7;0,0;0,7;1,0;;0,9;0,0;;0,2;;0,0;0,0;0,0;;60,0;12;12;0;0,90;0,24;;0,33;0,17;0;2,5;5,1;0,28;0,40;235;14;;0;26,00;41;170;16;350;3,0;1,30;
Blodpudding blodkorv fett ca 10%;1430;847;203;12,0;9,0;17,3;2,0;1,0;1,7;58,0;0,0;4,0;7,7;7,7;0;3,9;0,0;0,0;0,1;2,2;1,5;0,0;3,6;0,2;3,3;1,0;;0,9;0,0;;0,1;;0,0;0,0;0,0;;65,0;8;8;0;0,10;0,04;;0,04;0,03;0;0,7;2,9;0,08;0,14;92;5;;0;17,00;17;139;16;400;3,0;1,20;
Blodpudding blodkorv fett 13% stekt;1431;1156;276;12,0;15,2;21,7;2,5;1,1;1,8;46,7;0,0;4,0;7,8;7,8;0;6,1;0,0;0,0;0,3;3,5;2,0;0,0;7,0;0,6;6,1;1,2;;1,0;0,0;;0,1;;0,0;0,0;0,0;;70,7;11;11;0;1,09;0,16;;0,06;0,04;0;0,9;3,1;0,08;0,09;100;4;;0;20,65;18;151;17;435;3,3;1,30;
Blodpudding blodkorv fett 8% stekt;1432;921;220;13,0;9,8;18,8;2,2;1,1;1,8;54,3;0,0;4,3;8,4;8,4;0;4,3;0,0;0,0;0,1;2,4;1,6;0,0;3,9;0,2;3,6;1,1;;1,0;0,0;;0,1;;0,0;0,0;0,0;;70,7;9;9;0;0,11;0,04;;0,03;0,03;0;0,8;3,2;0,07;0,12;100;4;;0;18,48;18;151;17;435;3,3;1,30;
Paltbröd kokt;1433;268;64;3,2;0,6;10,7;1,1;0,4;1,0;83,4;0,0;2,1;4,2;4,2;0;0,1;0,0;0,0;0,0;0,1;0,0;0,0;0,2;0,0;0,2;0,2;;0,2;0,0;;0,0;;0,0;0,0;0,0;0,0;13,4;3;3;0;0,20;0,05;;0,05;0,03;0;0,6;1,2;0,03;0,06;53;2;11;0;5,82;10;37;4;169;0,7;0,29;
Lammbräss;1434;549;131;15,3;7,8;0,0;0,0;0,2;1,3;75,6;0,0;0,0;0,0;0,0;0;3,8;0,0;0,1;0,4;1,6;1,7;0,0;3,1;0,2;2,8;0,4;;0,2;0,1;;0,2;;0,0;0,0;0,0;;250,0;7;7;0;0,40;0,44;;0,03;0,25;18;3,7;6,5;0,03;6,00;400;13;;0;1,70;8;420;21;75;3,0;1,90;
